type	time	latitude	longitude	name	desc
T	2017-07-16 23:41:33	41.524400000	-70.671900000	2017-07-16 1941	
T	2017-07-17 12:00:41	41.523100000	-70.673400000		
T	2017-07-17 12:01:21	41.521600000	-70.674300000		
T	2017-07-17 12:01:57	41.520800000	-70.676200000		
T	2017-07-17 12:02:26	41.520200000	-70.678400000		
T	2017-07-17 12:02:55	41.519800000	-70.680800000		
T	2017-07-17 12:03:21	41.519500000	-70.683100000		
T	2017-07-17 12:03:47	41.519400000	-70.685400000		
T	2017-07-17 12:04:15	41.519800000	-70.687600000		
T	2017-07-17 12:04:43	41.520400000	-70.689900000		
T	2017-07-17 12:05:09	41.521700000	-70.691500000		
T	2017-07-17 12:05:33	41.523300000	-70.692300000		
T	2017-07-17 12:05:55	41.525100000	-70.692500000		
T	2017-07-17 12:06:17	41.526800000	-70.692700000		
T	2017-07-17 12:06:39	41.528500000	-70.692800000		
T	2017-07-17 12:07:02	41.530200000	-70.692600000		
T	2017-07-17 12:07:24	41.531800000	-70.692500000		
T	2017-07-17 12:07:45	41.533500000	-70.692300000		
T	2017-07-17 12:08:07	41.535200000	-70.692000000		
T	2017-07-17 12:08:29	41.536900000	-70.691900000		
T	2017-07-17 12:08:50	41.538600000	-70.691700000		
T	2017-07-17 12:09:12	41.540300000	-70.691400000		
T	2017-07-17 12:09:33	41.542000000	-70.691100000		
T	2017-07-17 12:09:53	41.543700000	-70.690900000		
T	2017-07-17 12:10:12	41.545300000	-70.690600000		
T	2017-07-17 12:10:33	41.547000000	-70.690300000		
T	2017-07-17 12:10:53	41.548700000	-70.690100000		
T	2017-07-17 12:11:15	41.550500000	-70.689900000		
T	2017-07-17 12:11:36	41.552300000	-70.689700000		
T	2017-07-17 12:11:58	41.554200000	-70.689400000		
T	2017-07-17 12:12:21	41.556000000	-70.689200000		
T	2017-07-17 12:12:43	41.557800000	-70.689000000		
T	2017-07-17 12:13:05	41.559600000	-70.688700000		
T	2017-07-17 12:13:27	41.561400000	-70.688500000		
T	2017-07-17 12:13:49	41.563200000	-70.688400000		
T	2017-07-17 12:14:11	41.565000000	-70.688100000		
T	2017-07-17 12:14:33	41.566900000	-70.688000000		
T	2017-07-17 12:14:55	41.568700000	-70.687900000		
T	2017-07-17 12:15:17	41.570500000	-70.687700000		
T	2017-07-17 12:15:39	41.572300000	-70.687600000		
T	2017-07-17 12:16:01	41.574100000	-70.687400000		
T	2017-07-17 12:16:23	41.575900000	-70.687300000		
T	2017-07-17 12:16:46	41.577800000	-70.687100000		
T	2017-07-17 12:17:07	41.579600000	-70.686900000		
T	2017-07-17 12:17:29	41.581400000	-70.686800000		
T	2017-07-17 12:17:51	41.583200000	-70.686600000		
T	2017-07-17 12:18:13	41.585000000	-70.686500000		
T	2017-07-17 12:18:34	41.586800000	-70.686300000		
T	2017-07-17 12:18:57	41.588600000	-70.686100000		
T	2017-07-17 12:19:19	41.590400000	-70.686000000		
T	2017-07-17 12:19:41	41.592300000	-70.685800000		
T	2017-07-17 12:20:03	41.594100000	-70.685700000		
T	2017-07-17 12:20:25	41.595800000	-70.685500000		
T	2017-07-17 12:20:47	41.597700000	-70.685300000		
T	2017-07-17 12:21:10	41.599400000	-70.685100000		
T	2017-07-17 12:21:31	41.601300000	-70.685000000		
T	2017-07-17 12:21:53	41.603000000	-70.684800000		
T	2017-07-17 12:22:15	41.604800000	-70.684700000		
T	2017-07-17 12:22:37	41.606600000	-70.684500000		
T	2017-07-17 12:22:59	41.608400000	-70.684200000		
T	2017-07-17 12:23:21	41.610200000	-70.684000000		
T	2017-07-17 12:23:43	41.612000000	-70.683800000		
T	2017-07-17 12:24:05	41.613800000	-70.683500000		
T	2017-07-17 12:24:27	41.615600000	-70.683300000		
T	2017-07-17 12:24:49	41.617400000	-70.683000000		
T	2017-07-17 12:25:11	41.619200000	-70.682800000		
T	2017-07-17 12:25:33	41.621000000	-70.682600000		
T	2017-07-17 12:25:55	41.622800000	-70.682300000		
T	2017-07-17 12:26:17	41.624600000	-70.682000000		
T	2017-07-17 12:26:39	41.626400000	-70.681700000		
T	2017-07-17 12:27:01	41.628200000	-70.681500000		
T	2017-07-17 12:27:23	41.630000000	-70.681200000		
T	2017-07-17 12:27:45	41.631800000	-70.680900000		
T	2017-07-17 12:28:06	41.633600000	-70.680700000		
T	2017-07-17 12:28:29	41.635400000	-70.680400000		
T	2017-07-17 12:28:51	41.637200000	-70.680100000		
T	2017-07-17 12:29:13	41.639000000	-70.679800000		
T	2017-07-17 12:29:34	41.640700000	-70.679600000		
T	2017-07-17 12:29:56	41.642500000	-70.679300000		
T	2017-07-17 12:30:17	41.644200000	-70.679100000		
T	2017-07-17 12:30:39	41.646000000	-70.678800000		
T	2017-07-17 12:31:01	41.647800000	-70.678400000		
T	2017-07-17 12:31:22	41.649600000	-70.678100000		
T	2017-07-17 12:31:44	41.651400000	-70.677700000		
T	2017-07-17 12:32:07	41.653100000	-70.677400000		
T	2017-07-17 12:32:29	41.655000000	-70.677000000		
T	2017-07-17 12:32:51	41.656800000	-70.676600000		
T	2017-07-17 12:33:13	41.658600000	-70.676200000		
T	2017-07-17 12:33:34	41.660200000	-70.675800000		
T	2017-07-17 12:33:53	41.661800000	-70.675200000		
T	2017-07-17 12:34:12	41.663400000	-70.674700000		
T	2017-07-17 12:34:33	41.665100000	-70.674100000		
T	2017-07-17 12:34:55	41.666800000	-70.673500000		
T	2017-07-17 12:35:15	41.668400000	-70.672900000		
T	2017-07-17 12:35:34	41.670100000	-70.672300000		
T	2017-07-17 12:35:55	41.671700000	-70.671700000		
T	2017-07-17 12:36:15	41.673300000	-70.671100000		
T	2017-07-17 12:36:36	41.675000000	-70.670500000		
T	2017-07-17 12:36:55	41.676600000	-70.669900000		
T	2017-07-17 12:37:15	41.678200000	-70.669300000		
T	2017-07-17 12:37:35	41.679900000	-70.668600000		
T	2017-07-17 12:37:55	41.681500000	-70.667900000		
T	2017-07-17 12:38:15	41.683100000	-70.667200000		
T	2017-07-17 12:38:35	41.684700000	-70.666600000		
T	2017-07-17 12:38:55	41.686300000	-70.665900000		
T	2017-07-17 12:39:15	41.687900000	-70.665000000		
T	2017-07-17 12:39:35	41.689500000	-70.664100000		
T	2017-07-17 12:39:55	41.691000000	-70.663100000		
T	2017-07-17 12:40:14	41.692500000	-70.662100000		
T	2017-07-17 12:40:35	41.694100000	-70.661300000		
T	2017-07-17 12:40:55	41.695700000	-70.660500000		
T	2017-07-17 12:41:14	41.697400000	-70.659900000		
T	2017-07-17 12:41:35	41.699000000	-70.659400000		
T	2017-07-17 12:41:57	41.700800000	-70.658900000		
T	2017-07-17 12:42:29	41.702500000	-70.658500000		
T	2017-07-17 12:43:11	41.703900000	-70.657300000		
T	2017-07-17 12:43:51	41.705400000	-70.656000000		
T	2017-07-17 12:44:31	41.706800000	-70.654700000		
T	2017-07-17 12:45:09	41.708200000	-70.653400000		
T	2017-07-17 12:45:47	41.709600000	-70.652100000		
T	2017-07-17 12:46:25	41.711100000	-70.650800000		
T	2017-07-17 12:47:02	41.712500000	-70.649500000		
T	2017-07-17 12:47:49	41.713900000	-70.648100000		
T	2017-07-17 12:48:29	41.715200000	-70.646800000		
T	2017-07-17 12:49:09	41.716600000	-70.645500000		
T	2017-07-17 12:49:51	41.718000000	-70.644100000		
T	2017-07-17 12:50:41	41.719400000	-70.642800000		
T	2017-07-17 12:51:38	41.720800000	-70.641600000		
T	2017-07-17 12:52:36	41.722100000	-70.640200000		
T	2017-07-17 12:53:29	41.723500000	-70.638800000		
T	2017-07-17 12:54:21	41.724900000	-70.637600000		
T	2017-07-17 12:55:11	41.726300000	-70.636300000		
T	2017-07-17 12:56:03	41.727600000	-70.634900000		
T	2017-07-17 12:56:55	41.729000000	-70.633600000		
T	2017-07-17 12:57:47	41.730300000	-70.632100000		
T	2017-07-17 12:58:43	41.731600000	-70.630700000		
T	2017-07-17 12:59:39	41.732900000	-70.629200000		
T	2017-07-17 13:00:35	41.734100000	-70.627700000		
T	2017-07-17 13:01:33	41.735300000	-70.626100000		
T	2017-07-17 13:02:29	41.736400000	-70.624400000		
T	2017-07-17 13:03:24	41.737500000	-70.622700000		
T	2017-07-17 13:04:22	41.738600000	-70.620900000		
T	2017-07-17 13:05:22	41.739700000	-70.619200000		
T	2017-07-17 13:06:25	41.740500000	-70.617200000		
T	2017-07-17 13:07:29	41.741200000	-70.615100000		
T	2017-07-17 13:08:32	41.741800000	-70.613000000		
T	2017-07-17 13:09:29	41.742400000	-70.610900000		
T	2017-07-17 13:10:27	41.743000000	-70.608700000		
T	2017-07-17 13:11:23	41.743400000	-70.606500000		
T	2017-07-17 13:12:23	41.743900000	-70.604300000		
T	2017-07-17 13:13:42	41.744400000	-70.602100000		
T	2017-07-17 13:14:35	41.744800000	-70.599900000		
T	2017-07-17 13:15:25	41.745200000	-70.597700000		
T	2017-07-17 13:16:15	41.745800000	-70.595500000		
T	2017-07-17 13:17:05	41.746400000	-70.593300000		
T	2017-07-17 13:17:53	41.747000000	-70.591100000		
T	2017-07-17 13:18:42	41.747600000	-70.589000000		
T	2017-07-17 13:19:28	41.748400000	-70.586900000		
T	2017-07-17 13:20:13	41.749200000	-70.585000000		
T	2017-07-17 13:20:57	41.750100000	-70.583000000		
T	2017-07-17 13:21:41	41.751200000	-70.581200000		
T	2017-07-17 13:22:28	41.752200000	-70.579400000		
T	2017-07-17 13:23:16	41.753400000	-70.577700000		
