type	time	latitude	longitude	name	desc
T	2018-05-17 15:53:21	43.072143000	-70.711068000	2018-05-17 1153	
T	2018-05-17 16:40:00	43.073157000	-70.709235000		
T	2018-05-17 16:40:43	43.072367000	-70.707185000		
T	2018-05-17 16:41:10	43.070753000	-70.706455000		
T	2018-05-17 16:41:34	43.069138000	-70.705798000		
T	2018-05-17 16:41:58	43.067498000	-70.705162000		
T	2018-05-17 16:42:22	43.065748000	-70.704522000		
T	2018-05-17 16:42:45	43.064077000	-70.704087000		
T	2018-05-17 16:43:09	43.062303000	-70.703580000		
T	2018-05-17 16:43:32	43.060663000	-70.703112000		
T	2018-05-17 16:43:54	43.059008000	-70.702543000		
T	2018-05-17 16:44:16	43.057348000	-70.702050000		
T	2018-05-17 16:44:38	43.055677000	-70.701485000		
T	2018-05-17 16:45:01	43.054037000	-70.700963000		
T	2018-05-17 16:45:25	43.052613000	-70.699623000		
T	2018-05-17 16:45:48	43.051543000	-70.697828000		
T	2018-05-17 16:46:11	43.050642000	-70.695893000		
T	2018-05-17 16:46:34	43.049757000	-70.693905000		
T	2018-05-17 16:46:57	43.048910000	-70.691827000		
T	2018-05-17 16:47:20	43.048147000	-70.689645000		
T	2018-05-17 16:47:43	43.047897000	-70.687368000		
T	2018-05-17 16:48:05	43.048442000	-70.685147000		
T	2018-05-17 16:48:26	43.049060000	-70.682955000		
T	2018-05-17 16:48:47	43.049772000	-70.680843000		
T	2018-05-17 16:49:09	43.050562000	-70.678663000		
T	2018-05-17 16:49:31	43.051352000	-70.676602000		
T	2018-05-17 16:49:52	43.052187000	-70.674578000		
T	2018-05-17 16:50:12	43.052992000	-70.672537000		
T	2018-05-17 16:50:33	43.053748000	-70.670465000		
T	2018-05-17 16:50:55	43.054853000	-70.668687000		
T	2018-05-17 16:51:16	43.056140000	-70.667158000		
T	2018-05-17 16:51:36	43.057383000	-70.665562000		
T	2018-05-17 16:51:57	43.058578000	-70.663895000		
T	2018-05-17 16:52:19	43.060010000	-70.662430000		
T	2018-05-17 16:52:41	43.061312000	-70.660938000		
T	2018-05-17 16:53:01	43.062577000	-70.659387000		
T	2018-05-17 16:53:22	43.063922000	-70.657953000		
T	2018-05-17 16:53:43	43.065305000	-70.656583000		
T	2018-05-17 16:54:05	43.066725000	-70.655085000		
T	2018-05-17 16:54:26	43.068067000	-70.653652000		
T	2018-05-17 16:54:47	43.069417000	-70.652247000		
T	2018-05-17 16:55:08	43.070778000	-70.650860000		
T	2018-05-17 16:55:29	43.072120000	-70.649462000		
T	2018-05-17 16:55:51	43.073485000	-70.648043000		
T	2018-05-17 16:56:11	43.074815000	-70.646633000		
T	2018-05-17 16:56:32	43.076145000	-70.645223000		
T	2018-05-17 16:56:53	43.077480000	-70.643823000		
T	2018-05-17 16:57:15	43.078812000	-70.642400000		
T	2018-05-17 16:57:36	43.080175000	-70.641018000		
T	2018-05-17 16:57:56	43.081523000	-70.639653000		
T	2018-05-17 16:58:17	43.082858000	-70.638203000		
T	2018-05-17 16:58:39	43.084265000	-70.636702000		
T	2018-05-17 16:59:01	43.085615000	-70.635282000		
T	2018-05-17 16:59:22	43.086960000	-70.633855000		
T	2018-05-17 16:59:42	43.088333000	-70.632465000		
T	2018-05-17 17:00:03	43.089673000	-70.631058000		
T	2018-05-17 17:00:24	43.090898000	-70.629445000		
T	2018-05-17 17:00:45	43.092165000	-70.627890000		
T	2018-05-17 17:01:06	43.093228000	-70.626100000		
T	2018-05-17 17:01:27	43.094123000	-70.624127000		
T	2018-05-17 17:01:49	43.095042000	-70.622168000		
T	2018-05-17 17:02:09	43.095935000	-70.620187000		
T	2018-05-17 17:02:30	43.096827000	-70.618215000		
T	2018-05-17 17:02:51	43.097703000	-70.616232000		
T	2018-05-17 17:03:13	43.098552000	-70.614245000		
T	2018-05-17 17:03:33	43.099440000	-70.612278000		
T	2018-05-17 17:03:54	43.100297000	-70.610315000		
T	2018-05-17 17:04:15	43.101263000	-70.608430000		
T	2018-05-17 17:04:37	43.102100000	-70.606413000		
T	2018-05-17 17:04:58	43.102912000	-70.604380000		
T	2018-05-17 17:05:18	43.103625000	-70.602272000		
T	2018-05-17 17:05:39	43.104372000	-70.600197000		
T	2018-05-17 17:06:01	43.105153000	-70.598007000		
T	2018-05-17 17:06:23	43.106037000	-70.596045000		
T	2018-05-17 17:06:44	43.106828000	-70.593992000		
T	2018-05-17 17:07:04	43.107748000	-70.592022000		
T	2018-05-17 17:07:25	43.108493000	-70.589938000		
T	2018-05-17 17:07:46	43.109227000	-70.587837000		
T	2018-05-17 17:08:07	43.110137000	-70.585877000		
T	2018-05-17 17:08:28	43.111072000	-70.583935000		
T	2018-05-17 17:08:49	43.112072000	-70.582073000		
T	2018-05-17 17:09:11	43.113052000	-70.580178000		
T	2018-05-17 17:09:31	43.114008000	-70.578262000		
T	2018-05-17 17:09:52	43.114915000	-70.576288000		
T	2018-05-17 17:10:13	43.115872000	-70.574358000		
T	2018-05-17 17:10:35	43.116792000	-70.572413000		
T	2018-05-17 17:10:55	43.117672000	-70.570417000		
T	2018-05-17 17:11:16	43.118547000	-70.568418000		
T	2018-05-17 17:11:37	43.119418000	-70.566400000		
T	2018-05-17 17:11:59	43.120348000	-70.564322000		
T	2018-05-17 17:12:21	43.121272000	-70.562367000		
T	2018-05-17 17:12:41	43.122177000	-70.560447000		
T	2018-05-17 17:13:02	43.122947000	-70.558367000		
T	2018-05-17 17:13:23	43.123782000	-70.556333000		
T	2018-05-17 17:13:45	43.124543000	-70.554213000		
T	2018-05-17 17:14:06	43.125435000	-70.552225000		
T	2018-05-17 17:14:26	43.126330000	-70.550222000		
T	2018-05-17 17:14:47	43.127228000	-70.548213000		
T	2018-05-17 17:15:09	43.128162000	-70.546105000		
T	2018-05-17 17:15:30	43.128945000	-70.544000000		
T	2018-05-17 17:15:51	43.129770000	-70.541920000		
T	2018-05-17 17:16:12	43.130640000	-70.539892000		
T	2018-05-17 17:16:33	43.131525000	-70.537877000		
T	2018-05-17 17:16:54	43.132323000	-70.535795000		
T	2018-05-17 17:17:15	43.133083000	-70.533670000		
T	2018-05-17 17:17:36	43.134023000	-70.531707000		
T	2018-05-17 17:17:57	43.134908000	-70.529685000		
T	2018-05-17 17:18:19	43.135768000	-70.527635000		
T	2018-05-17 17:18:39	43.136682000	-70.525607000		
T	2018-05-17 17:19:00	43.137652000	-70.523640000		
T	2018-05-17 17:19:21	43.138613000	-70.521665000		
T	2018-05-17 17:19:43	43.139627000	-70.519577000		
T	2018-05-17 17:20:05	43.140600000	-70.517603000		
T	2018-05-17 17:20:25	43.141587000	-70.515628000		
T	2018-05-17 17:20:45	43.142587000	-70.513772000		
T	2018-05-17 17:21:07	43.143600000	-70.511682000		
T	2018-05-17 17:21:29	43.144562000	-70.509688000		
T	2018-05-17 17:21:48	43.145495000	-70.507793000		
T	2018-05-17 17:22:08	43.146412000	-70.505877000		
T	2018-05-17 17:22:29	43.147348000	-70.503970000		
T	2018-05-17 17:22:48	43.148270000	-70.502037000		
T	2018-05-17 17:23:08	43.149218000	-70.500113000		
T	2018-05-17 17:23:29	43.150192000	-70.498213000		
T	2018-05-17 17:23:48	43.151095000	-70.496267000		
T	2018-05-17 17:24:08	43.151962000	-70.494273000		
T	2018-05-17 17:24:28	43.152832000	-70.492280000		
T	2018-05-17 17:24:48	43.153593000	-70.490212000		
T	2018-05-17 17:25:08	43.154360000	-70.488152000		
T	2018-05-17 17:25:28	43.155115000	-70.486085000		
T	2018-05-17 17:25:48	43.155850000	-70.483992000		
T	2018-05-17 17:26:08	43.156590000	-70.481923000		
T	2018-05-17 17:26:29	43.157355000	-70.479745000		
T	2018-05-17 17:26:49	43.158222000	-70.477752000		
T	2018-05-17 17:27:09	43.159078000	-70.475763000		
T	2018-05-17 17:27:29	43.159935000	-70.473780000		
T	2018-05-17 17:27:49	43.160790000	-70.471783000		
T	2018-05-17 17:28:09	43.161715000	-70.469842000		
T	2018-05-17 17:28:29	43.162632000	-70.467890000		
T	2018-05-17 17:28:50	43.163583000	-70.465960000		
T	2018-05-17 17:29:09	43.164517000	-70.464012000		
T	2018-05-17 17:29:29	43.165417000	-70.462047000		
T	2018-05-17 17:29:50	43.166368000	-70.460120000		
T	2018-05-17 17:30:09	43.167252000	-70.458140000		
T	2018-05-17 17:30:29	43.168073000	-70.456103000		
T	2018-05-17 17:30:50	43.168870000	-70.454068000		
T	2018-05-17 17:31:09	43.169680000	-70.452027000		
T	2018-05-17 17:31:29	43.170473000	-70.449992000		
T	2018-05-17 17:31:50	43.171323000	-70.448000000		
T	2018-05-17 17:32:09	43.172210000	-70.446042000		
T	2018-05-17 17:32:29	43.173122000	-70.444102000		
T	2018-05-17 17:32:54	43.173752000	-70.441985000		
T	2018-05-17 17:39:26	43.175408000	-70.442627000		
T	2018-05-17 17:39:50	43.176985000	-70.441848000		
T	2018-05-17 17:40:12	43.178418000	-70.440492000		
T	2018-05-17 17:40:35	43.179890000	-70.439132000		
T	2018-05-17 17:40:58	43.181152000	-70.437612000		
T	2018-05-17 17:41:19	43.182535000	-70.436230000		
T	2018-05-17 17:41:41	43.183982000	-70.434933000		
T	2018-05-17 17:42:03	43.185493000	-70.433815000		
T	2018-05-17 17:42:25	43.187055000	-70.432838000		
T	2018-05-17 17:42:47	43.188620000	-70.431908000		
T	2018-05-17 17:43:09	43.190097000	-70.430835000		
T	2018-05-17 17:43:31	43.191663000	-70.429927000		
T	2018-05-17 17:43:52	43.193185000	-70.428908000		
T	2018-05-17 17:44:14	43.194732000	-70.427985000		
T	2018-05-17 17:44:35	43.196283000	-70.426975000		
T	2018-05-17 17:44:56	43.197817000	-70.425857000		
T	2018-05-17 17:45:17	43.199360000	-70.424750000		
T	2018-05-17 17:45:38	43.200945000	-70.423790000		
T	2018-05-17 17:45:59	43.202545000	-70.422857000		
T	2018-05-17 17:46:20	43.204127000	-70.421605000		
T	2018-05-17 17:46:42	43.205677000	-70.420498000		
T	2018-05-17 17:47:03	43.207282000	-70.419627000		
T	2018-05-17 17:47:24	43.208798000	-70.418482000		
T	2018-05-17 17:47:45	43.210297000	-70.417320000		
T	2018-05-17 17:48:06	43.211840000	-70.416217000		
T	2018-05-17 17:48:27	43.213382000	-70.415170000		
T	2018-05-17 17:48:47	43.214880000	-70.414167000		
T	2018-05-17 17:49:08	43.216473000	-70.413207000		
T	2018-05-17 17:49:29	43.218017000	-70.412093000		
T	2018-05-17 17:49:50	43.219580000	-70.411047000		
T	2018-05-17 17:50:11	43.221108000	-70.409967000		
T	2018-05-17 17:50:32	43.222668000	-70.408853000		
T	2018-05-17 17:50:53	43.224138000	-70.407743000		
T	2018-05-17 17:51:12	43.225643000	-70.406730000		
T	2018-05-17 17:51:32	43.227127000	-70.405652000		
T	2018-05-17 17:51:54	43.228690000	-70.404593000		
T	2018-05-17 17:52:13	43.230177000	-70.403507000		
T	2018-05-17 17:52:34	43.231760000	-70.402503000		
T	2018-05-17 17:52:55	43.233295000	-70.401317000		
T	2018-05-17 17:53:16	43.234822000	-70.400292000		
T	2018-05-17 17:53:35	43.236352000	-70.399383000		
T	2018-05-17 17:53:55	43.237828000	-70.398322000		
T	2018-05-17 17:54:17	43.239368000	-70.397193000		
T	2018-05-17 17:54:38	43.240892000	-70.396037000		
T	2018-05-17 17:54:58	43.242457000	-70.394963000		
T	2018-05-17 17:55:19	43.244012000	-70.393882000		
T	2018-05-17 17:55:40	43.245545000	-70.392772000		
T	2018-05-17 17:56:00	43.246975000	-70.391568000		
T	2018-05-17 17:56:20	43.248472000	-70.390555000		
T	2018-05-17 17:56:40	43.249940000	-70.389468000		
T	2018-05-17 17:57:00	43.251427000	-70.388402000		
T	2018-05-17 17:57:20	43.252902000	-70.387312000		
T	2018-05-17 17:57:40	43.254503000	-70.386353000		
T	2018-05-17 17:58:01	43.255980000	-70.385203000		
T	2018-05-17 17:58:21	43.257507000	-70.384243000		
T	2018-05-17 17:58:41	43.259025000	-70.383263000		
T	2018-05-17 17:59:02	43.260632000	-70.382405000		
T	2018-05-17 17:59:23	43.262158000	-70.381257000		
T	2018-05-17 17:59:44	43.263685000	-70.380125000		
T	2018-05-17 18:00:04	43.265172000	-70.379068000		
T	2018-05-17 18:00:24	43.266685000	-70.378032000		
T	2018-05-17 18:00:44	43.268197000	-70.377053000		
T	2018-05-17 18:01:04	43.269712000	-70.376077000		
T	2018-05-17 18:01:24	43.271183000	-70.374923000		
T	2018-05-17 18:01:46	43.272852000	-70.373908000		
T	2018-05-17 18:02:08	43.274543000	-70.373012000		
T	2018-05-17 18:02:30	43.276195000	-70.371960000		
T	2018-05-17 18:02:51	43.277692000	-70.370867000		
T	2018-05-17 18:03:11	43.279288000	-70.369953000		
T	2018-05-17 18:03:31	43.280830000	-70.369037000		
T	2018-05-17 18:03:53	43.282265000	-70.367512000		
T	2018-05-17 18:04:15	43.283803000	-70.366160000		
T	2018-05-17 18:04:38	43.285393000	-70.364922000		
T	2018-05-17 18:05:00	43.287068000	-70.363913000		
T	2018-05-17 18:05:19	43.288503000	-70.362732000		
T	2018-05-17 18:05:41	43.290140000	-70.361592000		
T	2018-05-17 18:06:02	43.291612000	-70.360502000		
T	2018-05-17 18:06:21	43.293078000	-70.359403000		
T	2018-05-17 18:06:43	43.294677000	-70.358197000		
T	2018-05-17 18:07:02	43.296153000	-70.357110000		
T	2018-05-17 18:07:23	43.297643000	-70.356078000		
T	2018-05-17 18:07:43	43.299125000	-70.355013000		
T	2018-05-17 18:08:03	43.300637000	-70.354045000		
T	2018-05-17 18:08:23	43.302202000	-70.353213000		
T	2018-05-17 18:08:43	43.303713000	-70.352215000		
T	2018-05-17 18:09:03	43.305253000	-70.351307000		
T	2018-05-17 18:09:23	43.306755000	-70.350293000		
T	2018-05-17 18:09:45	43.308390000	-70.349197000		
T	2018-05-17 18:10:05	43.309852000	-70.348082000		
T	2018-05-17 18:10:27	43.311512000	-70.347057000		
T	2018-05-17 18:10:49	43.313132000	-70.345920000		
T	2018-05-17 18:11:12	43.314755000	-70.344852000		
T	2018-05-17 18:11:33	43.316342000	-70.343657000		
T	2018-05-17 18:11:55	43.317892000	-70.342482000		
T	2018-05-17 18:12:17	43.319527000	-70.341465000		
T	2018-05-17 18:12:39	43.321078000	-70.340293000		
T	2018-05-17 18:13:01	43.322672000	-70.339218000		
T	2018-05-17 18:13:24	43.324248000	-70.338023000		
T	2018-05-17 18:13:46	43.325860000	-70.336960000		
T	2018-05-17 18:14:07	43.327465000	-70.335923000		
T	2018-05-17 18:14:29	43.329088000	-70.334947000		
T	2018-05-17 18:14:51	43.330630000	-70.333722000		
T	2018-05-17 18:15:13	43.332222000	-70.332563000		
