,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
0,D20180517T162703_IFCB009.hdr,43.07287551446945,-70.7097438392283
1,D20180517T164344_IFCB009.hdr,43.059760272727274,-70.70280163636365
2,D20180517T165326_IFCB009.hdr,43.06418542857143,-70.65769204761905
3,D20180517T170249_IFCB009.hdr,43.097619571428574,-70.61642085714286
4,D20180517T170801_IFCB009.hdr,43.109877,-70.58643699999999
5,D20180517T171530_IFCB009.hdr,43.128945,-70.544
6,D20180517T172258_IFCB009.hdr,43.14874399999999,-70.501075
7,D20180517T173027_IFCB009.hdr,43.1679909,-70.4563067
8,D20180517T173756_IFCB009.hdr,43.17502779591837,-70.44247960204082
9,D20180517T174525_IFCB009.hdr,43.19996380952381,-70.42438428571428
10,D20180517T175254_IFCB009.hdr,43.233221904761905,-70.40137347619049
11,D20180517T180023_IFCB009.hdr,43.26660935,-70.3780838
12,D20180517T180752_IFCB009.hdr,43.2998054,-70.3545774
13,D20180517T181521_IFCB009.hdr,43.33279654545455,-70.33213718181817
14,D20180517T182250_IFCB009.hdr,43.36542791304348,-70.30964056521739
15,D20180517T183018_IFCB009.hdr,43.39768118181818,-70.28722045454545
16,D20180517T183747_IFCB009.hdr,43.43028027272727,-70.26433318181819
17,D20180517T184516_IFCB009.hdr,43.46288618181818,-70.24186472727273
18,D20180517T185245_IFCB009.hdr,43.49505117391304,-70.21690669565217
19,D20180517T190014_IFCB009.hdr,43.52842513636364,-70.196156
20,D20180517T190743_IFCB009.hdr,43.56117533333333,-70.17333233333333
21,D20180517T191512_IFCB009.hdr,43.596246,-70.17111349999999
22,D20180517T192241_IFCB009.hdr,43.62543704545455,-70.20098427272727
23,D20180517T193010_IFCB009.hdr,43.65339339473684,-70.22125789473684
24,D20180517T193739_IFCB009.hdr,43.656989807692305,-70.24143684615385
25,D20180517T194508_IFCB009.hdr,43.6531720088463,-70.24961192038333
26,D20180517T195237_IFCB009.hdr,43.653176303951,-70.24959464539343
27,D20180517T200006_IFCB009.hdr,43.653180599055695,-70.24957737040351
28,D20180517T200735_IFCB009.hdr,43.6531848941604,-70.24956009541361
29,D20180517T201504_IFCB009.hdr,43.65318918926509,-70.2495428204237
30,D20180517T202232_IFCB009.hdr,43.65319347480386,-70.24952558390817
31,D20180517T203001_IFCB009.hdr,43.65319776990856,-70.24950830891825
32,D20180517T203730_IFCB009.hdr,43.653202065013254,-70.24949103392835
33,D20180517T204459_IFCB009.hdr,43.653206360117956,-70.24947375893844
34,D20180517T205228_IFCB009.hdr,43.65321065522265,-70.24945648394853
35,D20180517T205957_IFCB009.hdr,43.65321495032735,-70.24943920895862
36,D20180517T210726_IFCB009.hdr,43.65321924543205,-70.24942193396872
37,D20180517T211455_IFCB009.hdr,43.65322354053675,-70.2494046589788
38,D20180517T212224_IFCB009.hdr,43.653227835641445,-70.2493873839889
39,D20180517T212953_IFCB009.hdr,43.65323213074615,-70.24937010899899
40,D20180517T213722_IFCB009.hdr,43.65323642585084,-70.24935283400909
41,D20180517T214451_IFCB009.hdr,43.653240720955544,-70.24933555901917
42,D20180517T215220_IFCB009.hdr,43.65324501606024,-70.24931828402927
43,D20180517T215949_IFCB009.hdr,43.65324931116494,-70.24930100903936
44,D20180517T220718_IFCB009.hdr,43.65325360626964,-70.24928373404946
45,D20180517T221447_IFCB009.hdr,43.65325790137434,-70.24926645905956
46,D20180517T222216_IFCB009.hdr,43.653262196479034,-70.24924918406964
47,D20180517T222945_IFCB009.hdr,43.653266491583736,-70.24923190907974
48,D20180517T223713_IFCB009.hdr,43.6532707771225,-70.2492146725642
49,D20180517T224442_IFCB009.hdr,43.653275072227196,-70.24919739757428
50,D20180517T225211_IFCB009.hdr,43.6532793673319,-70.24918012258438
51,D20180517T225940_IFCB009.hdr,43.65328366243659,-70.24916284759446
52,D20180517T230709_IFCB009.hdr,43.653287957541295,-70.24914557260456
53,D20180517T231438_IFCB009.hdr,43.65329225264599,-70.24912829761466
54,D20180517T232207_IFCB009.hdr,43.65329654775069,-70.24911102262475
55,D20180517T232936_IFCB009.hdr,43.65330084285539,-70.24909374763484
56,D20180517T233705_IFCB009.hdr,43.65330513796009,-70.24907647264493
57,D20180517T234434_IFCB009.hdr,43.653309433064784,-70.24905919765503
58,D20180517T235203_IFCB009.hdr,43.653313728169486,-70.24904192266511
59,D20180517T235932_IFCB009.hdr,43.65331802327418,-70.24902464767521
60,D20180518T000701_IFCB009.hdr,43.65332231837888,-70.2490073726853
61,D20180518T001430_IFCB009.hdr,43.65332661348358,-70.2489900976954
