type	time	latitude	longitude	name	desc
T	2018-07-18 12:43:08	43.173167000	-70.443167000	2018-07-18 0843	
T	2018-07-18 13:02:51	43.171667000	-70.444500000		
T	2018-07-18 13:04:35	43.172833000	-70.442667000		
T	2018-07-18 13:05:43	43.173833000	-70.440833000		
T	2018-07-18 13:06:46	43.174667000	-70.438833000		
T	2018-07-18 13:07:47	43.175667000	-70.436833000		
T	2018-07-18 13:08:46	43.176667000	-70.434833000		
T	2018-07-18 13:09:44	43.177500000	-70.432833000		
T	2018-07-18 13:10:36	43.178500000	-70.431000000		
T	2018-07-18 13:11:33	43.179333000	-70.429000000		
T	2018-07-18 13:12:20	43.180333000	-70.427167000		
T	2018-07-18 13:13:07	43.181333000	-70.425333000		
T	2018-07-18 13:13:55	43.182333000	-70.423333000		
T	2018-07-18 13:14:43	43.183167000	-70.421333000		
T	2018-07-18 13:15:29	43.184167000	-70.419500000		
T	2018-07-18 13:16:15	43.185333000	-70.417833000		
T	2018-07-18 13:17:02	43.186833000	-70.416500000		
T	2018-07-18 13:17:48	43.188333000	-70.415500000		
T	2018-07-18 13:18:32	43.189833000	-70.414500000		
T	2018-07-18 13:19:12	43.191333000	-70.413500000		
T	2018-07-18 13:19:51	43.192833000	-70.412500000		
T	2018-07-18 13:20:30	43.194333000	-70.411500000		
T	2018-07-18 13:21:11	43.195833000	-70.410333000		
T	2018-07-18 13:21:50	43.197333000	-70.409167000		
T	2018-07-18 13:22:29	43.198833000	-70.408167000		
T	2018-07-18 13:23:09	43.200333000	-70.407167000		
T	2018-07-18 13:23:48	43.201833000	-70.406000000		
T	2018-07-18 13:24:27	43.203333000	-70.405000000		
T	2018-07-18 13:25:08	43.204833000	-70.403833000		
T	2018-07-18 13:25:46	43.206333000	-70.402833000		
T	2018-07-18 13:26:26	43.207833000	-70.401667000		
T	2018-07-18 13:27:06	43.209333000	-70.400500000		
T	2018-07-18 13:27:44	43.210833000	-70.399500000		
T	2018-07-18 13:28:23	43.212333000	-70.398500000		
T	2018-07-18 13:29:03	43.213833000	-70.397333000		
T	2018-07-18 13:29:42	43.215333000	-70.396333000		
T	2018-07-18 13:30:20	43.216833000	-70.395167000		
T	2018-07-18 13:30:59	43.218333000	-70.394000000		
T	2018-07-18 13:31:38	43.219833000	-70.393000000		
T	2018-07-18 13:32:16	43.221333000	-70.392000000		
T	2018-07-18 13:32:56	43.223000000	-70.391167000		
T	2018-07-18 13:33:36	43.224667000	-70.390500000		
T	2018-07-18 13:34:17	43.226333000	-70.389667000		
T	2018-07-18 13:34:56	43.228000000	-70.389000000		
T	2018-07-18 13:35:36	43.229667000	-70.388333000		
T	2018-07-18 13:36:15	43.231167000	-70.387333000		
